Program,Sex_code,Entrance_Exam_Score,HS_GPA,risk_label,Entrance_Exam_Tier,HS_Performance_Tier,Strand_Program_Match,First_Gen_Student,Has_Scholarship,Financial_Stress,Gap_Years,Private_HS,Has_HS_Honors,Age_At_Enrollment,Age_Group,Distance_KM,Distance_Bucket,Program_Risk_Index,Municipality_Risk_Index
BSIT,M,102,89.6,0,0,1,2,1,1,5,0,0,0,16,traditional,82.19663955,very_far,0.05,0.5
BSIT,M,120,87.5,0,0,1,2,1,0,6,0,0,0,19,traditional,82.19663955,very_far,0.05,0.5
BIT-Electronics,M,115,93,0,0,0,0,0,1,4,0,0,1,17,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,F,124,91.3,0,0,0,1,1,0,6,0,1,1,17,traditional,82.19663955,very_far,0.058333333,0.5
BIT-Electronics,F,90,90.4,0,0,0,1,0,0,5,0,1,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BSHM,F,110,81,0,0,1,1,0,0,5,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BSIE,M,84,71.6,1,0,2,1,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.054166667,0.5
BIT-CT,M,81,85.73,1,0,1,1,0,1,4,0,0,0,17,traditional,82.19663955,very_far,0.0375,0.5
BIT-CT,M,63,80.8,0,2,1,1,0,0,5,0,1,0,18,traditional,82.19663955,very_far,0.0375,0.5
BSFI,F,66,77.9,0,1,2,0,0,1,4,0,0,0,17,traditional,82.19663955,very_far,0.058333333,0.5
BSFI,M,77,75.9,1,1,2,0,1,0,6,0,0,0,17,traditional,82.19663955,very_far,0.058333333,0.5
BIT-CT,F,128,83.3,0,0,1,1,1,0,6,0,1,0,19,traditional,82.19663955,very_far,0.0375,0.5
BSIT,M,114,90.8,0,0,0,1,0,1,4,0,0,1,17,traditional,82.19663955,very_far,0.05,0.5
BSHM,F,114,91.3,0,0,0,0,1,0,6,0,0,1,17,traditional,82.19663955,very_far,0.033333333,0.5
BSFI,M,121,88.7,0,0,1,0,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BSIT,M,111.56,89.2,0,0,1,1,0,1,4,0,0,0,17,traditional,82.19663955,very_far,0.05,0.5
BSIT,M,99,73.2,0,0,2,2,0,1,4,0,0,0,16,traditional,82.19663955,very_far,0.05,0.5
BSFI,F,105,89.5,0,0,1,0,0,0,5,0,0,1,18,traditional,82.19663955,very_far,0.058333333,0.5
BIT-CT,M,94,92.8,0,0,0,1,0,1,4,0,0,1,17,traditional,82.19663955,very_far,0.0375,0.5
BSIE,M,116,80.1,0,0,1,1,0,1,4,0,0,0,18,traditional,82.19663955,very_far,0.054166667,0.5
BSFI,M,80,73.6,1,0,2,0,0,0,5,0,1,0,19,traditional,82.19663955,very_far,0.058333333,0.5
BIT-CT,F,99,82.5,0,0,1,0,1,1,5,0,0,0,16,traditional,82.19663955,very_far,0.0375,0.5
BIT-Automotive,M,109,82.7,0,0,1,1,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BSIE,M,77,78.9,0,1,2,2,0,1,4,0,0,0,16,traditional,82.19663955,very_far,0.054166667,0.5
BIT-CT,M,71,81.4,0,1,1,0,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.0375,0.5
BSIE,M,110,92.4,0,0,0,0,0,1,4,0,0,1,19,traditional,82.19663955,very_far,0.054166667,0.5
BIT-Automotive,M,127,84.3,0,0,1,1,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BSIE,M,113,80.6,0,0,1,2,0,1,4,0,0,0,18,traditional,82.19663955,very_far,0.054166667,0.5
BSHM,F,113,83.1,0,0,1,1,1,0,6,0,1,0,18,traditional,82.19663955,very_far,0.033333333,0.5
BSIT,F,136,84.7,0,0,1,-1,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.05,0.5
BIT-Automotive,M,101,82.3,0,0,1,1,1,1,5,0,0,0,19,traditional,82.19663955,very_far,0.049702381,0.5
BSIT,M,122,94,0,0,0,2,0,0,5,0,0,1,18,traditional,82.19663955,very_far,0.05,0.5
BIT-Electronics,M,99,92,0,0,0,1,1,0,6,0,0,1,17,traditional,82.19663955,very_far,0.049702381,0.5
BSHM,F,114,87.8,0,0,1,1,0,0,5,0,0,1,18,traditional,82.19663955,very_far,0.033333333,0.5
BIT-Automotive,M,118,80.1,0,0,1,1,1,0,6,0,0,0,17,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,132,90.3,0,0,0,0,1,0,6,0,1,1,17,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,137,82.5,0,0,1,0,0,0,5,0,0,0,17,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,111,85,0,0,1,1,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-CT,F,125,94.1,0,0,0,1,1,0,6,0,0,1,19,traditional,82.19663955,very_far,0.0375,0.5
BSFI,M,124,82.7,0,0,1,0,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BSHM,M,110,77.5,0,0,2,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BSIE,F,112,87.1,0,0,1,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.054166667,0.5
BIT-Electronics,M,131,92.4,0,0,0,1,0,0,5,0,0,1,17,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,F,119,86.8,0,0,1,0,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,98,86.4,0,0,1,1,0,1,4,0,0,0,19,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Automotive,M,100,77.7,0,0,2,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Automotive,M,107,91.9,0,0,0,0,0,0,5,0,0,1,17,traditional,82.19663955,very_far,0.049702381,0.5
BSIT,M,82,81.5,0,0,1,-1,0,1,4,0,0,0,18,traditional,82.19663955,very_far,0.05,0.5
BIT-Electronics,M,124,96.2,0,0,0,1,1,1,5,0,0,1,19,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,F,88,76.1,1,0,2,1,0,0,5,0,0,0,17,traditional,82.19663955,very_far,0.058333333,0.5
BSIT,F,110,91.7,0,0,0,-1,1,0,6,0,0,1,18,traditional,82.19663955,very_far,0.05,0.5
BIT-Automotive,M,117,76.5,0,0,2,1,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Automotive,M,65,71.2,0,1,2,1,1,0,6,0,0,0,17,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,F,105,81.2,0,0,1,0,0,1,4,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BSFI,F,127,85.2,0,0,1,0,1,0,6,0,0,0,16,traditional,82.19663955,very_far,0.058333333,0.5
BSIE,F,114,90.5,0,0,0,1,1,1,5,0,1,1,18,traditional,82.19663955,very_far,0.054166667,0.5
BIT-Electronics,M,119,90.6,0,0,0,1,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BSHM,M,125,95.7,0,0,0,0,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.033333333,0.5
BIT-CT,M,101,84.1,0,0,1,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.0375,0.5
BSIE,F,73,72.6,1,1,2,2,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.054166667,0.5
BSIT,M,112,93.1,0,0,0,2,1,0,6,0,0,1,19,traditional,82.19663955,very_far,0.05,0.5
BSFI,M,100,81.7,0,0,1,0,0,0,5,0,0,0,16,traditional,82.19663955,very_far,0.058333333,0.5
BIT-Automotive,M,97,82.6,0,0,1,0,0,1,4,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,111.56,86.7,0,0,1,1,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BSHM,M,125,87.2,0,0,1,1,0,1,4,0,0,1,17,traditional,82.19663955,very_far,0.033333333,0.5
BIT-CT,M,119,92.1,0,0,0,-1,0,0,5,0,1,1,18,traditional,82.19663955,very_far,0.0375,0.5
BIT-Electronics,M,98,87.2,0,0,1,1,1,0,6,0,0,0,17,traditional,82.19663955,very_far,0.049702381,0.5
BSIE,M,110,90.6,0,0,0,2,1,0,6,0,0,1,17,traditional,82.19663955,very_far,0.054166667,0.5
BIT-Automotive,M,97,88,0,0,1,1,0,1,4,0,0,0,16,traditional,82.19663955,very_far,0.049702381,0.5
BIT-CT,M,130,98,0,0,0,-1,0,0,5,0,1,1,16,traditional,82.19663955,very_far,0.0375,0.5
BIT-Automotive,M,125,88.6,0,0,1,0,0,0,5,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BSIE,M,99,86.2,0,0,1,0,0,0,5,0,0,1,18,traditional,82.19663955,very_far,0.054166667,0.5
BIT-Automotive,M,83,72.8,1,0,2,0,1,0,6,0,1,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-CT,M,105,76.2,0,0,2,1,1,1,5,0,1,0,17,traditional,82.19663955,very_far,0.0375,0.5
BIT-Electronics,M,149,85.5,0,0,1,1,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BSIT,F,124,84.6,0,0,1,2,1,1,5,0,0,0,16,traditional,82.19663955,very_far,0.05,0.5
BSIE,M,115,84,0,0,1,2,1,0,6,0,1,0,18,traditional,82.19663955,very_far,0.054166667,0.5
BSHM,F,114,89.4,0,0,1,1,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.033333333,0.5
BIT-Automotive,M,90,71.6,0,0,2,1,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BSHM,M,109,79.6,0,0,2,1,1,0,6,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BSIE,M,116,87.7,0,0,1,0,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.054166667,0.5
BSHM,M,104,94,0,0,0,1,1,0,6,0,0,1,18,traditional,82.19663955,very_far,0.033333333,0.5
BIT-Automotive,M,108,88,0,0,1,1,1,1,5,0,0,1,19,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,F,135,91.9,0,0,0,0,1,0,6,0,0,1,19,traditional,82.19663955,very_far,0.049702381,0.5
BSIE,M,114,78.2,0,0,2,1,0,1,4,0,0,0,17,traditional,82.19663955,very_far,0.054166667,0.5
BSIE,M,110,90.5,0,0,0,2,1,1,5,0,0,1,18,traditional,82.19663955,very_far,0.054166667,0.5
BSIE,M,103,82.1,0,0,1,2,0,0,5,0,0,0,18,traditional,82.19663955,very_far,0.054166667,0.5
BIT-Electronics,F,60,69.6,0,2,2,1,0,0,5,0,0,0,19,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,M,109,74,0,0,2,0,1,0,6,0,0,0,17,traditional,82.19663955,very_far,0.058333333,0.5
BIT-CT,F,117,93.7,0,0,0,0,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.0375,0.5
BIT-Electronics,M,122,85.6,0,0,1,0,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BSIE,M,112,90.6,0,0,0,2,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.054166667,0.5
BIT-CT,M,116,78.2,0,0,2,0,0,1,4,0,0,0,19,traditional,82.19663955,very_far,0.0375,0.5
BIT-Automotive,M,131,91.3,0,0,0,0,1,1,5,0,0,0,19,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,122,88.9,0,0,1,1,0,0,5,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BSIT,M,73,68.2,0,1,2,2,0,0,5,0,1,0,17,traditional,82.19663955,very_far,0.05,0.5
BIT-Automotive,M,79,71.5,0,1,2,0,0,0,5,0,0,0,19,traditional,82.19663955,very_far,0.049702381,0.5
BSIT,M,119,89.6,0,0,1,2,1,1,5,0,0,1,17,traditional,82.19663955,very_far,0.05,0.5
BSIE,M,128,79.9,0,0,2,2,0,0,5,0,0,0,18,traditional,82.19663955,very_far,0.054166667,0.5
BSIE,M,120,97.3,0,0,0,2,1,0,6,0,0,1,18,traditional,82.19663955,very_far,0.054166667,0.5
BIT-Electronics,M,111,94.9,0,0,0,1,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BSHM,F,131,89.2,0,0,1,0,0,0,5,0,0,0,16,traditional,82.19663955,very_far,0.033333333,0.5
BSIE,M,83,76,1,0,2,1,0,1,4,0,0,0,16,traditional,82.19663955,very_far,0.054166667,0.5
BSHM,M,104,82.6,0,0,1,1,0,1,4,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BSHM,F,111.56,73.3,1,0,2,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BSIT,M,90,81.9,0,0,1,2,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.05,0.5
BSIT,M,122,84.4,0,0,1,2,1,1,5,0,0,0,16,traditional,82.19663955,very_far,0.05,0.5
BIT-CT,M,106,86.2,0,0,1,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.0375,0.5
BIT-CT,M,137,91.2,0,0,0,1,1,1,5,0,0,1,19,traditional,82.19663955,very_far,0.0375,0.5
BIT-CT,M,91,75.4,0,0,2,1,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.0375,0.5
BIT-CT,M,120,89.3,0,0,1,1,0,0,5,0,0,1,18,traditional,82.19663955,very_far,0.0375,0.5
BSIE,F,125,92.3,0,0,0,2,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.054166667,0.5
BSHM,F,115,95,0,0,0,1,1,1,5,0,0,1,18,traditional,82.19663955,very_far,0.033333333,0.5
BIT-Automotive,M,90,73.3,0,0,2,1,0,1,4,0,0,0,16,traditional,82.19663955,very_far,0.049702381,0.5
BSIT,M,111.56,81.3,0,0,1,1,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.05,0.5
BSIE,F,118,81.8,0,0,1,1,0,0,5,0,0,1,17,traditional,82.19663955,very_far,0.054166667,0.5
BSIE,F,121,81.3,0,0,1,2,0,1,4,0,0,0,16,traditional,82.19663955,very_far,0.054166667,0.5
BIT-Electronics,F,122,91.6,0,0,0,1,1,1,5,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Automotive,F,111,95.3,0,0,0,1,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,103,86.8,0,0,1,1,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Automotive,M,106,87.2,0,0,1,0,1,0,6,0,0,1,16,traditional,82.19663955,very_far,0.049702381,0.5
BSIE,M,56,66.2,0,2,2,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.054166667,0.5
BSFI,M,88,70.2,0,0,2,1,0,0,5,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BSIT,M,113,91.2,0,0,0,1,1,1,5,0,0,1,18,traditional,82.19663955,very_far,0.05,0.5
BSHM,F,98,68.3,0,0,2,1,0,1,4,0,0,0,19,traditional,82.19663955,very_far,0.033333333,0.5
BSHM,M,118,89,0,0,1,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BSFI,F,108,89.7,0,0,1,0,1,0,6,0,0,1,18,traditional,82.19663955,very_far,0.058333333,0.5
BSFI,F,109,75.2,0,0,2,0,1,1,5,0,0,0,19,traditional,82.19663955,very_far,0.058333333,0.5
BSFI,M,87,76.6,1,0,2,0,1,0,6,0,1,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BIT-CT,F,122,89.7,0,0,1,0,0,1,4,0,0,0,16,traditional,82.19663955,very_far,0.0375,0.5
BIT-CT,F,114,88.1,0,0,1,-1,0,0,5,0,0,1,18,traditional,82.19663955,very_far,0.0375,0.5
BSHM,F,98,86.7,0,0,1,1,0,0,5,0,0,0,18,traditional,82.19663955,very_far,0.033333333,0.5
BSIT,M,142,94.1,0,0,0,2,0,1,4,0,0,1,19,traditional,82.19663955,very_far,0.05,0.5
BSHM,F,147,81.3,0,0,1,1,1,0,6,0,0,0,19,traditional,82.19663955,very_far,0.033333333,0.5
BIT-Electronics,M,112,80.9,0,0,1,0,0,0,5,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,M,78,77.6,0,1,2,0,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BSFI,M,107,79.4,0,0,2,0,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BIT-Automotive,M,119,93.8,0,0,0,1,0,0,5,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,F,108,89.4,0,0,1,0,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BSHM,F,114,83.6,0,0,1,1,0,0,5,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BIT-Electronics,M,99,78.4,0,0,2,-1,0,0,5,0,0,0,17,traditional,82.19663955,very_far,0.049702381,0.5
BSHM,F,79,68,0,1,2,1,1,0,6,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BIT-CT,M,111.56,86.1,0,0,1,1,0,0,5,0,0,1,20,traditional,82.19663955,very_far,0.0375,0.5
BSHM,M,127,95.2,0,0,0,0,1,1,5,0,0,1,19,traditional,82.19663955,very_far,0.033333333,0.5
BSFI,M,116,85.2,0,0,1,1,0,0,5,0,0,0,17,traditional,82.19663955,very_far,0.058333333,0.5
BSIT,M,132,84.4,0,0,1,1,1,0,6,0,0,0,17,traditional,82.19663955,very_far,0.05,0.5
BIT-CT,F,114,92.7,0,0,0,1,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.0375,0.5
BSIT,M,129,80.8,0,0,1,-1,0,1,4,0,0,0,19,traditional,82.19663955,very_far,0.05,0.5
BIT-Electronics,F,89,72.3,1,0,2,1,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-CT,M,134,85.6,0,0,1,1,0,0,5,0,0,0,19,traditional,82.19663955,very_far,0.0375,0.5
BIT-Electronics,M,133,83.3,0,0,1,0,1,0,6,0,0,0,16,traditional,82.19663955,very_far,0.049702381,0.5
BIT-CT,M,107,87.5,0,0,1,1,1,0,6,0,0,1,17,traditional,82.19663955,very_far,0.0375,0.5
BIT-CT,M,125,85,0,0,1,1,1,1,5,0,0,0,19,traditional,82.19663955,very_far,0.0375,0.5
BIT-Automotive,M,114,78,0,0,2,0,1,0,6,0,0,1,19,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,F,111,80.9,0,0,1,0,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BSHM,F,139,88.7,0,0,1,1,0,1,4,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BSIE,M,107,89.5,0,0,1,2,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.054166667,0.5
BSHM,F,110,87.4,0,0,1,1,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.033333333,0.5
BIT-Automotive,M,108,90.3,0,0,0,1,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Automotive,M,102,78.6,0,0,2,1,0,1,4,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,111,85,0,0,1,0,1,1,5,0,0,0,19,traditional,82.19663955,very_far,0.049702381,0.5
BSIT,M,132,88.1,0,0,1,2,1,0,6,0,0,0,19,traditional,82.19663955,very_far,0.05,0.5
BIT-Automotive,M,72,76.4,1,1,2,1,1,0,6,0,0,0,16,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,M,138,83.3,0,0,1,0,0,0,5,0,0,0,17,traditional,82.19663955,very_far,0.058333333,0.5
BSIE,M,122,80.7,0,0,1,1,0,1,4,0,0,0,17,traditional,82.19663955,very_far,0.054166667,0.5
BIT-CT,M,131,96.7,0,0,0,1,0,1,4,0,0,1,18,traditional,82.19663955,very_far,0.0375,0.5
BSHM,F,82,83.9,0,0,1,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BIT-Electronics,M,80,77.1,0,0,2,1,0,0,5,0,0,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BSIT,M,74,73.7,0,1,2,1,0,1,4,0,0,0,18,traditional,82.19663955,very_far,0.05,0.5
BSFI,M,78,81.2,0,1,1,0,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BIT-Electronics,M,118,92.5,0,0,0,0,1,1,5,0,0,1,17,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,M,98,84.7,0,0,1,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.058333333,0.5
BSIE,M,71,80.1,0,1,1,2,0,0,5,0,0,0,19,traditional,82.19663955,very_far,0.054166667,0.5
BSFI,F,93,92.1,0,0,0,0,1,0,6,0,1,1,17,traditional,82.19663955,very_far,0.058333333,0.5
BIT-Automotive,M,85,77.4,0,0,2,0,0,1,4,0,0,0,16,traditional,82.19663955,very_far,0.049702381,0.5
BSHM,F,107,90.7,0,0,0,1,1,1,5,0,0,1,17,traditional,82.19663955,very_far,0.033333333,0.5
BIT-Automotive,M,104,87.4,0,0,1,1,0,1,4,0,1,0,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,130,85.6,0,0,1,-1,1,1,5,0,0,0,20,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Automotive,M,112,92.7,0,0,0,1,1,0,6,0,0,1,17,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,114,97,0,0,0,1,1,0,6,0,0,1,19,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,F,114,93.7,0,0,0,0,0,1,4,0,0,1,17,traditional,82.19663955,very_far,0.049702381,0.5
BSHM,F,113,79.7,0,0,2,0,0,0,5,0,0,0,18,traditional,82.19663955,very_far,0.033333333,0.5
BIT-Electronics,M,121,88.6,0,0,1,0,0,0,5,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,M,105,86.6,0,0,1,0,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BSHM,F,116,81.2,0,0,1,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.033333333,0.5
BIT-Electronics,M,85,75.4,0,0,2,1,1,1,5,0,0,0,17,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,121,86.5,0,0,1,-1,0,0,5,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BIT-Electronics,M,110,83.6,0,0,1,1,0,1,4,0,0,0,17,traditional,82.19663955,very_far,0.049702381,0.5
BSIT,M,78,75.8,0,1,2,-1,0,0,5,0,0,0,18,traditional,82.19663955,very_far,0.05,0.5
BSIE,M,126,85.8,0,0,1,1,1,0,6,0,1,0,18,traditional,82.19663955,very_far,0.054166667,0.5
BIT-CT,M,115,83.2,0,0,1,0,1,0,6,0,0,0,16,traditional,82.19663955,very_far,0.0375,0.5
BIT-CT,M,113,87.1,0,0,1,1,1,0,6,0,0,1,17,traditional,82.19663955,very_far,0.0375,0.5
BSIE,M,115,90.2,0,0,0,2,1,0,6,0,0,1,16,traditional,82.19663955,very_far,0.054166667,0.5
BSIT,F,120,98.5,0,0,0,2,1,0,6,0,0,1,19,traditional,82.19663955,very_far,0.05,0.5
BSIE,M,111.56,89.9,0,0,1,2,0,0,5,0,0,1,17,traditional,82.19663955,very_far,0.054166667,0.5
BSIT,M,123,87.8,0,0,1,1,1,0,6,0,0,1,17,traditional,82.19663955,very_far,0.05,0.5
BSIE,M,91,72.4,1,0,2,1,1,0,6,0,0,0,17,traditional,82.19663955,very_far,0.054166667,0.5
BSIE,F,82,77.1,0,0,2,2,1,0,6,0,0,0,16,traditional,82.19663955,very_far,0.054166667,0.5
BIT-Automotive,F,140,85.2,0,0,1,1,0,1,4,0,0,0,16,traditional,82.19663955,very_far,0.049702381,0.5
BIT-CT,M,146,82,0,0,1,1,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.0375,0.5
BSHM,F,101,94.2,0,0,0,1,1,1,5,0,0,1,16,traditional,82.19663955,very_far,0.033333333,0.5
BSFI,M,123,75.8,0,0,2,0,1,0,6,0,0,0,18,traditional,82.19663955,very_far,0.058333333,0.5
BSFI,M,128,81.4,0,0,1,0,0,1,4,0,0,0,17,traditional,82.19663955,very_far,0.058333333,0.5
BIT-Automotive,M,130,91.1,0,0,0,1,1,0,6,0,1,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,F,131,88.5,0,0,1,1,1,0,6,0,0,1,19,traditional,82.19663955,very_far,0.058333333,0.5
BIT-CT,M,128,91.7,0,0,0,1,1,1,5,0,0,1,16,traditional,82.19663955,very_far,0.0375,0.5
BSHM,F,125,98.1,0,0,0,0,1,0,6,0,0,1,17,traditional,82.19663955,very_far,0.033333333,0.5
BSIT,M,122,82.8,0,0,1,1,1,1,5,0,0,0,16,traditional,82.19663955,very_far,0.05,0.5
BIT-Automotive,M,131,88.4,0,0,1,1,1,1,5,0,0,1,18,traditional,82.19663955,very_far,0.049702381,0.5
BSIE,F,107,89.4,0,0,1,0,1,1,5,0,0,0,18,traditional,82.19663955,very_far,0.054166667,0.5
BSIT,M,128,88,0,0,1,2,0,1,4,0,0,0,16,traditional,82.19663955,very_far,0.05,0.5
BIT-Automotive,F,116,92.9,0,0,0,1,0,1,4,0,1,1,17,traditional,82.19663955,very_far,0.049702381,0.5
BSFI,F,112,81.3,0,0,1,0,1,1,5,0,0,0,16,traditional,82.19663955,very_far,0.058333333,0.5
